ID,Target_Form_ID,Source_Form_ID,Comment,Source,Loanset_ID
L1-1,chuukese-atreeixoracarolensis-1,,,mcd2,
L1-2,mortlockese-atreeixoracarolensis-1,,,mcd2,
L1-3,satawalese-atreeixoracarolensis-1,,,mcd2,
L1-4,woleaian-akindoftreeixoracasei-1,,,mcd2,
L1-5,pohnpeian-spoftreeixoracasei-1,,,mcd2,
L1-6,pingilapese-atreeixoracarolensis-1,,,mcd2,
L1-7,marshallese-atreeixoracarolinensis-1,,,mcd2,
L1-8,kosraean-akindofplant-2,,,mcd2,
L2-1,chuukese-atreemesserschmidiaargentea-1,,,mcd2,
L2-2,puluwatese-treeheliotropemesserschmidiaargentea-1,,,mcd2,
L2-3,saipancarolinian-spoftalltreefoundonsandybeaches-1,,,mcd2,
L2-4,saipancaroliniant-spoftalltreefoundonsandybeaches-1,,,mcd2,
L3-1,chuukese-atreecordiasubcordata-2,,,mcd2,
L3-2,puluwatese-atreecordiasubcordata-2,,,mcd2,
L3-3,puluwatese-treeof-1,,,mcd2,
L3-4,saipancarolinian-atreecordiasubcordata-1,,,mcd2,
L3-5,saipancaroliniant-atreecordiasubcordata-1,,,mcd2,
L3-6,woleaian-atreecordiasubcordata-1,,,mcd2,
L4-1,chuukese-atreecrataevasp-1,,,mcd2,
L4-2,mortlockese-atreecrataevasp-1,,,mcd2,
L4-3,puluwatese-atreecrataevasp-1,,,mcd2,
L4-4,saipancarolinian-atreecrataevasp-1,,,mcd2,
L4-5,saipancaroliniant-atreecrataevasp-1,,,mcd2,
L4-6,satawalese-atreecrataevasp-1,,,mcd2,
L4-7,woleaian-atreecrataevasp-1,,,mcd2,
L5-1,chuukese-abutilonshrub-1,,,mcd2,
L5-2,mortlockese-pipturusargentus-1,,,mcd2,
L5-3,puluwatese-atree-1,,,mcd2,
L5-4,satawalese-pipturusargentus-1,,,mcd2,
L5-5,woleaian-pipturustree-1,,,mcd2,
L5-6,protochuukic-abutilonshrub-1,,,mcd2,
L5-7,mokilese-treesp-4,,,mcd2,
L5-8,pingilapese-pipturusargentus-1,,,mcd2,
L5-9,marshallese-pipturusargenteustree-1,,,mcd2,
L6-1,chuukese-cathousecat-1,,,mcd2,
L6-2,puluwatese-cathousecat-1,,,mcd2,
L6-3,saipancarolinian-cathousecat-1,,,mcd2,
L6-4,saipancaroliniant-cathousecat-1,,,mcd2,
L6-5,satawalese-cathousecat-1,,,mcd2,
L6-6,woleaian-cathousecat-1,,,mcd2,
L7-1,chuukese-fan-2,,,mcd2,
L7-2,chuukese-fanhimbeckontoher-1,,,mcd2,
L7-3,puluwatese-tofan-1,,,mcd2,
L7-4,saipancarolinian-afan-1,,,mcd2,
L7-5,saipancarolinian-tofansomeone-1,,,mcd2,
L7-6,saipancaroliniant-ahandfan-1,,,mcd2,
L7-7,woleaian-fantowave-1,,,mcd2,
L7-8,woleaian-fanhim-1,,,mcd2,
L8-1,chuukese-shuttleofloom-1,,,mcd2,
L8-2,chuukese-shuttleof-1,,,mcd2,
L8-3,woleaian-shuttleofloom-1,,,mcd2,
L8-4,puloannan-shuttleofloom-1,,,mcd2,
L9-1,chuukese-yam-1,,,mcd2,
L9-2,chuukese-yamof-1,,,mcd2,
L9-3,puluwatese-yam-1,,,mcd2,
L9-4,woleaian-yam-1,,,mcd2,
L10-1,chuukese-atreepittosporumsp-2,,,mcd2,
L10-2,puluwatese-pittosporumtree-1,,,mcd2,
L10-3,puluwatese-treeof-2,,,mcd2,
L11-1,chuukese-whirlwindwaterspoutnameofastormgod-1,,,mcd2,
L11-2,mortlockese-whirlwindtornadorainbow-1,,,mcd2,
L11-3,puluwatese-waterspoutwhirlwind-1,,,mcd2,
L11-4,puluwatese-waterspoutof-1,,,mcd2,
L11-5,saipancarolinian-tornadowhirlwindwaterspout-1,,,mcd2,
L11-6,satawalese-tornado-1,,,mcd2,
L11-7,woleaian-rainbow-1,,,mcd2,
L11-8,pohnpeian-whirlwindgustofwindcontainingrain-1,,,mcd2,
L11-9,yapese-tornadowaterspout-1,,,mcd2,
L12-1,chuukese-nameoffaisislandwesterncarolines-1,,,mcd2,
L12-2,puluwatese-nameoffaisislandwesterncarolines-1,,,mcd2,
L12-3,woleaian-nameoffaisislandwesterncarolines-1,,,mcd2,
L13-1,chuukese-nameofgaferutislandwestfayuinthecentralcarolines-1,,,mcd2,
L13-2,puluwatese-nameofgaferutislandwestfayu-1,,,mcd2,
L13-3,saipancarolinian-nameofgaferutislandwestfayu-1,,,mcd2,
L13-4,woleaian-nameofaplaceinwoleai-1,,,mcd2,
L14-1,chuukese-nameofyapislands-1,,,mcd2,
L14-2,puluwatese-nameofyapislands-1,,,mcd2,
L14-3,saipancarolinian-nameofyapislands-1,,,mcd2,
L14-4,woleaian-nameofyapislands-1,,,mcd2,
L14-5,ulithian-nameofyapislands-1,,,mcd2,
L14-6,pohnpeian-nameofyapislands-1,,,mcd2,
L14-7,marshallese-nameofyapislands-1,,,mcd2,
L14-8,kosraean-nameofyapislands-1,,,mcd2,
L15-1,chuukese-largemulticoloredlizard-1,,,mcd2,
L15-2,chuukese-lizardof-2,,,mcd2,
L15-3,mortlockese-lizard-1,,,mcd2,
L15-4,puluwatese-giantlizard-1,,,mcd2,
L15-5,saipancarolinian-ablackandgreenforestlizardgecko-1,,,mcd2,
L15-6,satawalese-lizard-1,,,mcd2,
L15-7,woleaian-kindoflizard-2,,,mcd2,
L15-8,puloannan-lizard-1,,,mcd2,
L15-9,yapese-monitorlizard-1,,,mcd2,
L15-10,palauan-indianmonitorlizard-1,,,mcd2,
L16-1,chuukese-houseonleeplatformofsailingcanoe-1,,,mcd2,
L16-2,puluwatese-pandanusthatchhousethatfitsonleesideofsailingcanoe-1,,,mcd2,
L16-3,satawalese-hutondeepwatersailingcanoe-1,,,mcd2,
L16-4,woleaian-shelteredareaonacanoe-1,,,mcd2,
L17-1,chuukese-papayatreeandfruit-1,,,mcd2,
L17-2,chuukese-papayaof-1,,,mcd2,
L17-3,mortlockese-papayatreeandfruit-1,,,mcd2,
L17-4,puluwatese-papayatreeandfruit-1,,,mcd2,
L17-5,saipancarolinian-papayatreeandfruit-1,,,mcd2,
L17-6,satawalese-papayatreeandfruit-1,,,mcd2,
L17-7,woleaian-papayatreeandfruit-1,,,mcd2,
L18-1,chuukese-sweetpotato-1,,,mcd2,
L18-2,chuukese-sweetpotato-2,,,mcd2,
L18-3,chuukese-sweetpotato-3,,,mcd2,
L18-4,chuukese-sweetpotato-4,,,mcd2,
L18-5,chuukese-sweetpotatoof-1,,,mcd2,
L18-6,mortlockese-sweetpotato-1,,,mcd2,
L18-7,puluwatese-sweetpotato-1,,,mcd2,
L18-8,saipancarolinian-sweetpotato-1,,,mcd2,
L18-9,satawalese-sweetpotato-1,,,mcd2,
L18-10,woleaian-sweetpotato-1,,,mcd2,
L18-11,yapese-sweetpotato-1,,,mcd2,
L19-1,chuukese-dog-1,,,mcd2,
L19-2,puluwatese-dog-1,,,mcd2,
L19-3,saipancarolinian-dog-1,,,mcd2,
L19-4,saipancaroliniant-dog-1,,,mcd2,
L19-5,woleaian-dog-1,,,mcd2,
L20-1,chuukese-marchmarchingadancewithamarchingstepandmovesbasedoncloseordermilitarydrill-1,,,mcd2,
L20-2,chuukese-marchof-1,,,mcd2,
L20-3,puluwatese-amarchingdance-1,,,mcd2,
L20-4,puluwatese-danceof-1,,,mcd2,
L20-5,saipancarolinian-mensmarchingdance-1,,,mcd2,
L20-6,woleaian-akindofdance-1,,,mcd2,
L20-7,yapese-marchingdance-1,,,mcd2,
L20-8,marshallese-tomarchparade-1,,,mcd2,
L21-1,chuukese-cloth-1,,,mcd2,
L21-2,chuukese-clothof-1,,,mcd2,
L21-3,puluwatese-cloth-1,,,mcd2,
L21-4,saipancarolinian-cloth-1,,,mcd2,
L21-5,saipancaroliniant-cloth-1,,,mcd2,
L21-6,woleaian-cloth-1,,,mcd2,
L22-1,chuukese-yardorclearedgroundaroundahouseormeetinghouse-1,,,mcd2,
L22-2,gilbertese-playground-1,,,mcd2,
L23-1,chuukese-coverletcoversheet-1,,,mcd2,
L23-2,chuukese-coverletof-1,,,mcd2,
L23-3,woleaian-aceremonialwhitewovenskirtatypeoftributeconsistingofwovenskirts-1,,,mcd2,
L24-1,chuukese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-2,puluwatese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-3,saipancarolinian-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-4,saipancaroliniant-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-5,woleaian-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-6,ulithian-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-7,sonsorolese-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-8,pohnpeian-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-9,mokilese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-10,marshallese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-11,kosraean-arrowroottaccaleontopetaloides-1,,,mcd2,
L25-1,chuukese-pepperplant-1,,,mcd2,
L25-2,chuukese-hotpepper-1,,,mcd2,
L25-3,chuukese-pepperof-1,,,mcd2,
L25-4,puluwatese-chilipepperchilipepperof-1,,,mcd2,
L25-5,saipancarolinian-chilipepper-1,,,mcd2,
L25-6,saipancaroliniant-chilipepper-1,,,mcd2,
L25-7,woleaian-hotpepper-1,,,mcd2,
L25-8,woleaian-pepperof-1,,,mcd2,
L26-1,chuukese-secondfinestgradeofpandanusmat-1,,,mcd2,
L26-2,pohnpeian-mat-2,,,mcd2,
L27-1,chuukese-imagestatuedollpicturerepresentationimageof-1,,,mcd2,
L27-2,mortlockese-imagedoll-1,,,mcd2,
L27-3,puluwatese-statueimagedollweathercharm-1,,,mcd2,
L27-4,saipancarolinian-religiousimageorstatue-1,,,mcd2,
L27-5,saipancaroliniant-dollanystatue-1,,,mcd2,
L27-6,satawalese-doll-1,,,mcd2,
L27-7,woleaian-statuetoyshapeimage-1,,,mcd2,
L27-8,puloannan-doll-1,,,mcd2,
L27-9,mokilese-demon-1,,,mcd2,
L28-1,chuukese-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-2,puluwatese-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-3,saipancarolinian-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-4,saipancaroliniant-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-5,woleaian-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L29-1,chuukese-mudskipperfish-1,,,mcd2,
L29-2,puluwatese-akindofsmalldarkleapingfish-1,,,mcd2,
L29-3,saipancarolinian-spofinediblerockfish-1,,,mcd2,
L30-1,chuukese-nameofeauripikislandandatollcentralcarolines-1,,,mcd2,
L30-2,puluwatese-nameofeauripikislandandatollcentralcarolines-1,,,mcd2,
L30-3,woleaian-nameofeauripikislandandatollcentralcarolines-1,,,mcd2,
L31-1,chuukese-nameofthepalaworbelawislands-1,,,mcd2,
L31-2,puluwatese-nameofthepalaworbelawislands-1,,,mcd2,
L31-3,saipancarolinian-nameofthepalaworbelawislands-1,,,mcd2,
L31-4,woleaian-nameofthepalaworbelawislands-1,,,mcd2,
L31-5,ulithian-nameofthepalaworbelawislands-1,,,mcd2,
L32-1,chuukese-atreepoisonoustotheskinsemicarpus-1,,,mcd2,
L32-2,chamorro-hardwoodtreegoodforlumber-1,,,mcd2,
L32-3,palauan-guettardatree-1,,,mcd2,
L32-4,palauan-poisonoustreeinmangofamilysemicarpusvenenosa-1,,,mcd2,
L33-1,chuukese-nameofformerpikelotislandincentralcarolinesdestroyedbyatyphoon-1,,,mcd2,
L33-2,puluwatese-nameofformerpikelotislandincentralcarolinesdestroyedbyatyphoon-1,,,mcd2,
L33-3,woleaian-nameofformerpikelotislandincentralcarolinesdestroyedbyatyphoon-1,,,mcd2,
L34-1,chuukese-shootwithagungunfirearm-1,,,mcd2,
L34-2,chuukese-shootsomeonewithagun-1,,,mcd2,
L34-3,mortlockese-shootwithagungunfirearm-1,,,mcd2,
L34-4,puluwatese-shootwithagungunfirearm-1,,,mcd2,
L34-5,saipancarolinian-shootwithagungunfirearm-1,,,mcd2,
L34-6,satawalese-shootwithagungunfirearm-1,,,mcd2,
L34-7,woleaian-shootwithagungunfirearm-1,,,mcd2,
L34-8,ulithian-gun-1,,,mcd2,
L34-9,marshallese-bigguncannon-1,,,mcd2,
L35-1,chuukese-ilangilangtreecanangaodoratatreeof-1,,,mcd2,
L35-2,puluwatese-ilangilangtreecanangaodoratatreeof-1,,,mcd2,
L36-1,chuukese-nameofpulapisland-1,,,mcd2,
L36-2,mortlockese-nameofpulapisland-1,,,mcd2,
L36-3,puluwatese-nameofpulapisland-1,,,mcd2,
L36-4,woleaian-nameofpulapisland-1,,,mcd2,
L37-1,chuukese-arecaorbetelnut-1,,,mcd2,
L37-2,puluwatese-arecaorbetelnut-1,,,mcd2,
L37-3,saipancarolinian-arecaorbetelnut-1,,,mcd2,
L37-4,satawalese-arecaorbetelnut-1,,,mcd2,
L37-5,woleaian-arecaorbetelnut-1,,,mcd2,
L37-6,puloannan-arecaorbetelnut-1,,,mcd2,
L37-7,pohnpeian-arecaorbetelnut-1,,,mcd2,
L37-8,mokilese-arecaorbetelnut-1,,,mcd2,
L38-1,chuukese-rainbow-2,,,mcd2,
L38-2,chuukese-rainbowof-1,,,mcd2,
L38-3,saipancarolinian-rainbow-1,,,mcd2,
L38-4,saipancaroliniant-rainbow-2,,,mcd2,
L38-5,puloannan-rainbow-1,,,mcd2,
L38-6,pohnpeian-godofwar-1,,,mcd2,
L38-7,marshallese-toplunderdestroyandtakeeverythingravageransackloot-1,,,mcd2,
L38-8,kosraean-rainbow-1,,,mcd2,
L39-1,chuukese-soursoptree-1,,,mcd2,
L39-2,puluwatese-soursoptree-1,,,mcd2,
L39-3,yapese-soursoptree-1,,,mcd2,
L40-1,chuukese-nameforthemarshallislands-1,,,mcd2,
L40-2,woleaian-nameforthemarshallislands-1,,,mcd2,
L40-3,marshallese-jaluitislandandatoll-1,,,mcd2,
L41-1,chuukese-plumeria-1,,,mcd2,
L41-2,chuukese-plumeriaof-1,,,mcd2,
L41-3,mortlockese-plumeria-1,,,mcd2,
L41-4,puluwatese-plumeria-1,,,mcd2,
L41-5,saipancarolinian-plumeria-1,,,mcd2,
L41-6,satawalese-plumeria-1,,,mcd2,
L41-7,woleaian-plumeria-1,,,mcd2,
L41-8,ulithian-plumeria-1,,,mcd2,
L42-1,chuukese-mat-2,,,mcd2,
L42-2,chuukese-matof-1,,,mcd2,
L42-3,mortlockese-mat-1,,,mcd2,
L42-4,marshallese-sittingmat-1,,,mcd2,
L42-5,kosraean-akindofmat-1,,,mcd2,
L43-1,chuukese-circularthrowingnet-1,,,mcd2,
L43-2,chuukese-netof-1,,,mcd2,
L43-3,saipancarolinian-throwingnet-1,,,mcd2,
L43-4,saipancaroliniant-throwingnet-1,,,mcd2,
L43-5,woleaian-throwingnet-1,,,mcd2,
L44-1,chuukese-errormistakefaultsin-1,,,mcd2,
L44-2,chuukese-hiserror-1,,,mcd2,
L44-3,puluwatese-sinmistakeerror-1,,,mcd2,
L44-4,puluwatese-sinof-1,,,mcd2,
L44-5,satawalese-sinnotmerelymistake-1,,,mcd2,
L44-6,pohnpeian-sinwrongdoing-1,,,mcd2,
L44-7,pohnpeian-hissin-1,,,mcd2,
L44-8,pohnpeian-tostumblestubonestoe-1,,,mcd2,
L44-9,mokilese-totriponsomething-1,,,mcd2,
L44-10,pingilapese-stumbleandfall-1,,,mcd2,
L44-11,marshallese-stumblesliptrip-1,,,mcd2,
L44-12,marshallese-totriponsomething-1,,,mcd2,
L44-13,kosraean-badugly-1,,,mcd2,
L45-1,chuukese-todyedodyinganycolor-1,,,mcd2,
L45-2,saipancarolinian-locallymadedyeofanycolorusedtocolorcloth-1,,,mcd2,
L45-3,woleaian-todyecolorclothorhaircolorwithadye-1,,,mcd2,
L46-1,chuukese-loomforweaving-1,,,mcd2,
L46-2,chuukese-loomof-1,,,mcd2,
L46-3,chuukese-weaveit-1,,,mcd2,
L46-4,chuukese-toweaveonaloom-1,,,mcd2,
L46-5,puluwatese-loomforweaving-1,,,mcd2,
L46-6,saipancarolinian-loom-1,,,mcd2,
L46-7,saipancarolinian-weaveonaloom-1,,,mcd2,
L46-8,woleaian-loom-1,,,mcd2,
L46-9,woleaian-loomof-1,,,mcd2,
L46-10,woleaian-weaveit-2,,,mcd2,
L46-11,puloannan-loomforweaving-1,,,mcd2,
L47-1,chuukese-ironwoodtreecasuarinaequisetifolia-1,,,mcd2,
L47-2,chuukese-treeof-2,,,mcd2,
L47-3,saipancarolinian-ironwoodtreecasuarinaequisetifolia-1,,,mcd2,
L47-4,saipancaroliniant-ironwoodtreecasuarinaequisetifolia-1,,,mcd2,
L48-1,chuukese-oldnameofwoleaiislandandatoll-1,,,mcd2,
L48-2,chuukese-oldnameofwoleaiislandandatoll-2,,,mcd2,
L48-3,mortlockese-oldnameofwoleaiislandandatoll-1,,,mcd2,
L48-4,puluwatese-oldnameofwoleaiislandandatoll-1,,,mcd2,
L48-5,saipancarolinian-oldnameofwoleaiislandandatoll-1,,,mcd2,
L48-6,saipancaroliniant-oldnameofwoleaiislandandatoll-1,,,mcd2,
L48-7,woleaian-oldnameofwoleaiislandandatoll-1,,,mcd2,
L49-1,chuukese-dragonfly-1,,,mcd2,
L49-2,puluwatese-dragonfly-1,,,mcd2,
L49-3,saipancarolinian-dragonfly-1,,,mcd2,
L49-4,woleaian-dragonfly-1,,,mcd2,
L49-5,puloannan-dragonfly-1,,,mcd2,
L50-1,chuukese-washtheface-1,,,mcd2,
L50-2,puluwatese-towashasthefaceinthemorning-1,,,mcd2,
L50-3,puluwatese-washit-1,,,mcd2,
L50-4,saipancarolinian-washonesface-1,,,mcd2,
L50-5,saipancarolinian-washsomeoneasachildinthemorning-1,,,mcd2,
L51-1,saipancarolinian-nameoftobiislandwesterncarolines-1,,,mcd2,
L51-2,saipancaroliniant-nameoftobiislandwesterncarolines-1,,,mcd2,
L51-3,woleaian-nameoftobiislandwesterncarolines-1,,,mcd2,
L51-4,puloannan-nameoftobiislandwesterncarolines-1,,,mcd2,
L51-5,sonsorolese-nameoftobiislandwesterncarolines-1,,,mcd2,
L51-6,tobi-nameoftobiislandwesterncarolines-1,,,mcd2,
L52-1,saipancarolinian-sheathforaknife-1,,,mcd2,
L52-2,woleaian-sheathforaknife-1,,,mcd2,
L53-1,saipancarolinian-tobelazy-1,,,mcd2,
L53-2,woleaian-tobelazy-1,,,mcd2,
L54-1,saipancarolinian-ironwoodtree-1,,,mcd2,
L54-2,woleaian-pinetree-1,,,mcd2,
L54-3,ulithian-pineliketree-1,,,mcd2,
L54-4,chamorro-morindacitrifolia-1,,,mcd2,
L54-5,palauan-atypeofpinetree-1,,,mcd2,
L55-1,saipancarolinian-behappypleased-1,,,mcd2,
L55-2,saipancaroliniant-behappypleased-1,,,mcd2,
L55-3,woleaian-beactiveencouragedanimated-1,,,mcd2,
L56-1,saipancarolinian-largehardwoodtreeeugeniapalumbis-1,,,mcd2,
L56-2,saipancaroliniant-largehardwoodtreeeugeniapalumbis-1,,,mcd2,
L56-3,woleaian-akindoftree-2,,,mcd2,
L57-1,saipancarolinian-uncookedricericegrain-1,,,mcd2,
L57-2,woleaian-rice-1,,,mcd2,
L57-3,ulithian-rice-1,,,mcd2,
L58-1,saipancarolinian-nameofsonsorolislandwesterncarolines-1,,,mcd2,
L58-2,saipancaroliniant-nameofsonsorolislandwesterncarolines-1,,,mcd2,
L58-3,woleaian-nameofsonsorolislandwesterncarolines-1,,,mcd2,
L58-4,puloannan-nameofsonsorolislandwesterncarolines-1,,,mcd2,
L59-1,gilbertese-nearlyfinishedasashowerberaininggently-1,,,mcd2,
L59-2,gilbertese-towaitupontherainuntiltheshowerisquiteover-1,,,mcd2,
L59-3,protopolynesian-ceaseraining-1,,,mcd2,
L60-1,gilbertese-tourinate-1,,,mcd2,
L61-1,gilbertese-satiated-1,,,mcd2,
L61-2,kosraean-feelsatisfiedespeciallyafteragoodmeal-1,,,mcd2,
L62-1,kosraean-papaya-1,,,mcd2,
L62-2,rotuman-papaya-1,,,mcd2,
L62-3,samoan-papaya-1,,,mcd2,
L63-1,mokilese-coconuttoddy-1,,,mcd2,
L63-2,marshallese-coconutsaptoddy-1,,,mcd2,
L63-3,gilbertese-freshcoconutsap-1,,,mcd2,
L63-4,kosraean-coconutsap-1,,,mcd2,
L64-1,mokilese-handle-1,,,mcd2,
L64-2,mokilese-itshandle-1,,,mcd2,
L64-3,mokilese-handleof-1,,,mcd2,
L64-4,marshallese-handle-1,,,mcd2,
L65-1,mokilese-constellationpleiades-1,,,mcd2,
L65-2,marshallese-staretatauruspleiades-1,,,mcd2,
L65-3,kosraean-pleiades-1,,,mcd2,
L66-1,mokilese-lightning-1,,,mcd2,
L66-2,marshallese-lightning-1,,,mcd2,
L66-3,kosraean-lightning-1,,,mcd2,
L67-1,mokilese-allophylustree-1,,,mcd2,
L67-2,pingilapese-allophylustree-1,,,mcd2,
L67-3,marshallese-allophylustree-1,,,mcd2,
L68-1,mokilese-gonesourasofspoiledliquid-1,,,mcd2,
L68-2,marshallese-oldandsourfermentedcoconutsap-1,,,mcd2,
L68-3,marshallese-fermentedcoconuttoddysourtoddy-1,,,mcd2,
L68-4,gilbertese-drunkintoxicated-1,,,mcd2,
L68-5,gilbertese-fermentedorintoxicatingcoconutsap-1,,,mcd2,
L68-6,gilbertese-intoxicating-1,,,mcd2,
L69-1,mokilese-tuna-1,,,mcd2,
L69-2,mokilese-tunaof-1,,,mcd2,
L69-3,pingilapese-tuna-1,,,mcd2,
L69-4,marshallese-tuna-1,,,mcd2,
L70-1,marshallese-oarpaddleruddersteeringwheel-1,,,mcd2,
L70-2,gilbertese-oarsteeringoarrudder-1,,,mcd2,
L70-3,samoan-oarpaddle-1,,,mcd2,
L70-4,protopolynesian-oarpaddleruddersteeringwheel-1,,,mcd2,
L70-5,protoeasternoceanic-oarpaddleruddersteeringwheel-1,,,mcd2,
L71-1,marshallese-atarovarietycolocasia-1,,,mcd2,
L71-2,gilbertese-colocasiataro-1,,,mcd2,
L72-1,marshallese-chesttrunkfootlocker-1,,,mcd2,
L72-2,kosraean-suitcasetrunkchestcoffin-1,,,mcd2,
L73-1,marshallese-tobailasacanoe-1,,,mcd2,
L73-2,gilbertese-tobailasacanoe-1,,,mcd2,
L73-3,kosraean-tobailasacanoe-1,,,mcd2,
L74-1,mortlockese-chicken-1,,,mcd2,
L74-2,puluwatese-chicken-1,,,mcd2,
L74-3,satawalese-chicken-1,,,mcd2,
L74-4,saipancarolinian-chicken-1,,,mcd2,
L74-5,woleaian-chicken-1,,,mcd2,
L74-6,ulithian-chicken-1,,,mcd2,
L74-7,pohnpeian-chicken-1,,,mcd2,
L75-1,mortlockese-worm-1,,,mcd2,
L75-2,puluwatese-worm-1,,,mcd2,
L75-3,saipancarolinian-intestinalworm-1,,,mcd2,
L76-1,pingilapese-fall-1,,,mcd2,
L76-2,kosraean-falldrop-1,,,mcd2,
L77-1,pohnpeian-tocarrytwobundlesofthingswithapoleacrosstheshoulder-1,,,mcd2,
L77-2,pohnpeian-tocarrysomethingwithapole-1,,,mcd2,
L77-3,mokilese-yokeorpoleforcarrying-1,,,mcd2,
L77-4,pingilapese-yokeorpoleforcarrying-1,,,mcd2,
L77-5,marshallese-carryontheshouldersbearaburden-1,,,mcd2,
L77-6,marshallese-carrysomethingontheshoulders-1,,,mcd2,
L77-7,kosraean-poleyoke-1,,,mcd2,
L78-1,pohnpeian-dog-1,,,mcd2,
L78-2,marshallese-dog-1,,,mcd2,
L78-3,gilbertese-dog-1,,,mcd2,
L79-1,pohnpeian-ratmouse-1,,,mcd2,
L79-2,mokilese-smallanimallizardmouse-1,,,mcd2,
L79-3,mokilese-rat-1,,,mcd2,
L79-4,marshallese-mouserat-1,,,mcd2,
L79-5,kosraean-catmouserat-1,,,mcd2,
L80-1,pohnpeian-counterforheapsorpiles-1,,,mcd2,
L80-2,marshallese-pileupplantmaterials-1,,,mcd2,
L81-1,pohnpeian-tomeasuresurveyameasurement-1,,,mcd2,
L81-2,mokilese-tomeasure-1,,,mcd2,
L81-3,mokilese-tomeasuresomething-1,,,mcd2,
L81-4,marshallese-tomeasurecomparesize-1,,,mcd2,
L81-5,marshallese-sizeofsomething-1,,,mcd2,
L82-1,puloannan-capableable-1,,,mcd2,
L82-2,gilbertese-skillfulldextrousadept-1,,,mcd2,
L83-1,puluwatese-areeffish-1,,,mcd2,
L83-2,saipancarolinian-spofediblereeffish-1,,,mcd2,
L84-1,puluwatese-nameofsorolislandwesterncarolines-1,,,mcd2,
L84-2,woleaian-nameofsorolislandwesterncarolines-1,,,mcd2,
L85-1,puluwatese-salttosalt-1,,,mcd2,
L85-2,puluwatese-saltof-1,,,mcd2,
L85-3,puluwatese-tosaltorseasonsomething-1,,,mcd2,
L85-4,saipancarolinian-salt-1,,,mcd2,
L85-5,saipancaroliniant-salt-1,,,mcd2,
L85-6,satawalese-salt-1,,,mcd2,
L85-7,woleaian-salt-1,,,mcd2,
L86-1,satawalese-landearth-1,,,mcd2,
L86-2,woleaian-earthsoil-1,,,mcd2,
L86-3,ulithian-earth-1,,,mcd2,
L86-4,puloannan-earthgroundworld-1,,,mcd2,
L87-1,satawalese-aplant-1,,,mcd2,
L87-2,woleaian-aplantclerodendruminerme-1,,,mcd2,
L87-3,ulithian-aplant-1,,,mcd2,
L87-4,sonsorolese-aplant-2,,,mcd2,
L88-1,woleaian-atreeterminaliacatappa-1,,,mcd2,
L88-2,marshallese-atreeterminalialitorali-1,,,mcd2,
L89-1,woleaian-mustachewhiskers-1,,,mcd2,
L89-2,ulithian-mustachewhiskers-1,,,mcd2,
L89-3,puloannan-beardmustachewattlesofachicken-1,,,mcd2,
L89-4,puloannan-whiskers-1,,,mcd2,
L90-1,woleaian-womansskirtgrassskirt-1,,,mcd2,
L90-2,woleaian-grassskirtwearagrassskirt-1,,,mcd2,
L90-3,puloannan-grassskirttowearagrassskirt-1,,,mcd2,
L91-1,woleaian-bigsteeringpaddle-1,,,mcd2,
L91-2,yapese-steeringoar-1,,,mcd2,
